"AGEP","COW","JWMNP","LANX","MAR","SEX","WKHP","DIS","PERNP","Hispanic","Stem","Education","Region","CIT2","RAC"
67,2,5,2,2,2,38,2,24000,0,"NoDeg",12,"Central Wisconsin ",1,1
30,7,5,2,1,1,45,2,50000,0,"NoDeg",12,"Northeast Wisconsin ",1,1
61,1,70,2,1,2,40,2,45000,0,"NoDeg",13,"West Central Wisconsin",1,1
67,6,2,2,1,2,70,2,37700,0,"NoDeg",12,"West Central Wisconsin",1,1
53,1,30,2,1,1,55,2,140000,0,"Yes",16,"Waukesha County",1,1
56,1,20,2,1,1,40,2,36000,0,"NoDeg",14,"Northeast Wisconsin ",1,1
52,2,20,2,1,1,40,2,80000,0,"NoDeg",12,"Northwest Wisconsin",1,9
26,4,70,2,5,2,48,2,46000,0,"No",16,"Waukesha County",1,1
25,2,15,2,1,2,40,2,11200,0,"Yes",18,"East Central Wisconsin",1,1
57,1,2,2,1,2,50,2,50000,0,"NoDeg",13,"Southwest and South Central Wisconsin",1,1
61,6,146,2,1,1,70,2,60000,0,"NoDeg",13,"East Central Wisconsin ",1,1
33,1,20,2,1,1,55,2,116000,0,"No",16,"Waukesha County",1,1
55,1,7,2,1,2,33,2,14500,0,"NoDeg",12,"Northwest Wisconsin",1,1
54,3,30,2,1,1,40,2,40000,0,"NoDeg",12,"Northwest Wisconsin",1,1
39,1,17,2,1,2,55,2,105000,0,"No",18,"West Central Wisconsin",1,1
63,6,10,2,1,2,40,2,25000,0,"NoDeg",12,"Southeast Wisconsin ",1,1
24,4,40,2,5,2,40,2,40000,0,"Yes",16,"Madison and Dane County",1,1
54,1,25,2,1,1,50,2,53000,0,"NoDeg",14,"Northwest Wisconsin",1,1
33,1,15,2,3,2,40,2,40000,0,"Yes",16,"Southwest and South Central Wisconsin",1,1
49,6,146,2,1,1,65,2,75000,0,"NoDeg",12,"West Central Wisconsin",1,1
64,7,7,2,2,2,30,2,28500,0,"NoDeg",10,"Southwest and South Central Wisconsin",2,1
50,1,60,2,1,1,40,2,90000,0,"NoDeg",12,"Northwest Wisconsin",1,1
51,7,15,2,1,2,60,2,100000,0,"NoDeg",13,"Madison and Dane County",1,1
